frame, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_2_z, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, x_angle, y_angle
1, 0, 0.945691, 1, 0.273576, 0.392745, -0.878013, -0.0530536, 0.453246, -0.889805, -4.86539, -26.4554, 309.61, -0.132342, 0.106625, -0.0161516, -0.0266342, 0.348822
2, 0.0333667, 0.945368, 1, 0.290744, 0.392151, -0.872746, -0.0542979, 0.453113, -0.889798, -5.61416, -25.6662, 309.492, -0.115382, 0.109085, -0.0234777, -0.0166102, 0.36627
3, 0.0667333, 0.944088, 1, 0.287716, 0.391645, -0.873976, -0.0548671, 0.462717, -0.884806, -4.49668, -25.8661, 309.174, -0.10754, 0.111804, -0.0289189, -0.0184571, 0.37925
4, 0.1001, 0.939833, 1, 0.289839, 0.439007, -0.850451, -0.0493437, 0.494256, -0.867915, -4.2966, -26.0217, 309.428, -0.0946435, 0.108881, -0.0292816, -0.00623181, 0.43685
5, 0.133467, 0.948842, 1, 0.329029, 0.326228, -0.88618, -0.17934, 0.458029, -0.870659, -5.15108, -24.3235, 300.638, -0.0589838, 0.0807667, -0.0446228, 0.00382835, 0.389874
6, 0.166833, 0.939372, 1, 0.223471, 0.277397, -0.934404, -0.130026, 0.353832, -0.926227, -4.80317, -23.6505, 301.306, -0.0436056, 0.0819669, -0.0466593, -0.0289449, 0.312889
7, 0.2002, 0.939621, 1, 0.225716, 0.273099, -0.935131, -0.136727, 0.357815, -0.923728, -4.63049, -23.9069, 301.336, -0.0514545, 0.0800731, -0.0525241, -0.0257415, 0.304415
8, 0.233567, 0.936707, 1, 0.211512, 0.273695, -0.938272, -0.150594, 0.338085, -0.928989, -5.8301, -24.2489, 303.111, -0.0497122, 0.0836459, -0.0561027, -0.0467479, 0.297282
9, 0.266933, 0.937155, 1, 0.217594, 0.280841, -0.934763, -0.179443, 0.376153, -0.909015, -5.89351, -23.8722, 299.527, -0.0390221, 0.0807576, -0.0578968, -0.0499111, 0.33309
10, 0.3003, 0.945496, 1, 0.200293, 0.226594, -0.953173, -0.196582, 0.400885, -0.894789, -5.60009, -23.2712, 293.662, -0.0197175, 0.0678472, -0.0613775, -0.0507168, 0.338552
