frame, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_2_z, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, x_angle, y_angle
1, 0, 0.990969, 1, -0.0476257, 0.224279, -0.97336, -0.24803, 0.20784, -0.946194, 69.0314, -2.68167, 357.077, -0.0514699, -0.236705, -0.025865, 0.0981541, 0.214711
2, 0.0166833, 0.991425, 1, -0.046947, 0.2077, -0.977065, -0.266208, 0.190769, -0.944849, 71.7657, -0.353727, 356.428, -0.0542183, -0.229631, -0.041831, 0.0796161, 0.195932
3, 0.0333667, 0.991814, 1, -0.0565122, 0.195627, -0.979049, -0.256899, 0.19986, -0.945547, 74.3636, 1.27022, 358.942, -0.0563961, -0.227854, -0.0432197, 0.0750463, 0.190134
4, 0.05005, 0.991804, 1, -0.0413886, 0.196499, -0.97963, -0.256897, 0.184341, -0.948695, 73.9808, 1.05828, 360.245, -0.0642302, -0.21989, -0.0430386, 0.0728291, 0.173385
5, 0.0667333, 0.9908, 1, -0.00357612, 0.221943, -0.975053, -0.239737, 0.177821, -0.954414, 71.0738, -0.727756, 362.692, -0.0696736, -0.222211, -0.047897, 0.105299, 0.175751
6, 0.0834167, 0.991466, 1, -0.00313839, 0.215733, -0.976447, -0.28104, 0.175955, -0.943428, 68.37, -1.68845, 361.351, -0.0727608, -0.216373, -0.0535208, 0.0782589, 0.170886
7, 0.1001, 0.991685, 1, -0.0144769, 0.205073, -0.97864, -0.327792, 0.188203, -0.925814, 66.9075, -1.87236, 359.568, -0.0674106, -0.209793, -0.0579218, 0.0412725, 0.180132
8, 0.116783, 0.99165, 1, -0.0167703, 0.194355, -0.980788, -0.327564, 0.176614, -0.928175, 66.778, -1.66398, 359.152, -0.0679834, -0.208365, -0.0587602, 0.0383078, 0.16845
9, 0.133467, 0.991625, 1, -0.0180923, 0.194954, -0.980645, -0.327864, 0.177759, -0.927851, 66.5968, -1.70431, 359.238, -0.0660653, -0.208076, -0.0583282, 0.0373813, 0.171253
10, 0.15015, 0.991451, 1, -0.0100298, 0.197057, -0.980341, -0.33083, 0.178711, -0.926614, 65.8249, -2.03025, 359.502, -0.0691567, -0.207492, -0.0585601, 0.0397544, 0.170069
11, 0.166833, 0.991722, 1, -0.00938996, 0.199561, -0.97984, -0.332638, 0.18038, -0.925643, 65.3613, -1.96935, 359.095, -0.0666773, -0.205106, -0.0602888, 0.0364618, 0.175299
12, 0.183517, 0.992182, 1, -0.0178474, 0.200951, -0.979439, -0.346903, 0.182385, -0.919997, 66.2956, -1.27065, 357.652, -0.0679665, -0.202642, -0.0631145, 0.0216487, 0.177636
13, 0.2002, 0.992054, 1, -0.0375102, 0.203841, -0.978285, -0.356821, 0.182797, -0.916114, 69.1211, -0.438544, 356.176, -0.0665186, -0.20564, -0.0630012, 0.00924762, 0.181512
14, 0.216883, 0.991992, 1, -0.0412399, 0.210681, -0.976685, -0.342615, 0.188515, -0.920368, 71.7556, -0.189402, 357.259, -0.06466, -0.204297, -0.0586723, 0.011286, 0.188135
