frame, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_2_z, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, x_angle, y_angle
1, 0, 0.884746, 1, 0.14101, 0.480905, -0.865359, -0.150071, 0.415126, -0.897301, -11.7979, -29.9581, 386.67, 0.0128184, -0.088145, 0.0515431, 0.0568168, 0.534213
2, 0.0166833, 0.891148, 1, 0.220758, 0.471494, -0.853791, -0.189834, 0.396075, -0.898381, -10.9784, -29.0587, 387.607, 0.0214793, -0.102989, 0.0546886, 0.101076, 0.536186
3, 0.0333667, 0.885211, 1, 0.147919, 0.474964, -0.867485, -0.198866, 0.38418, -0.901586, -10.4337, -28.7145, 387.101, 0.0170363, -0.111268, 0.058543, 0.0640618, 0.520363
4, 0.05005, 0.897896, 1, 0.200567, 0.474342, -0.857189, -0.200707, 0.392101, -0.89776, -10.0607, -28.6926, 385.778, 0.0242317, -0.119205, 0.0588409, 0.107089, 0.536557
5, 0.0667333, 0.897269, 1, 0.173439, 0.473634, -0.863475, -0.205054, 0.393757, -0.896051, -10.3272, -28.9307, 387.094, 0.0181626, -0.129179, 0.0554265, 0.104031, 0.529825
6, 0.0834167, 0.900505, 1, 0.257719, 0.441421, -0.859493, -0.206738, 0.385748, -0.899143, -9.36954, -28.7657, 380.999, 0.0312908, -0.131315, 0.0565538, 0.158444, 0.5256
7, 0.1001, 0.91225, 1, 0.249464, 0.449572, -0.857702, -0.192477, 0.398109, -0.896918, -7.98791, -28.9535, 379.921, 0.0262635, -0.131598, 0.0546039, 0.162923, 0.533413
8, 0.116783, 0.927626, 1, 0.205853, 0.467662, -0.859603, -0.20913, 0.409276, -0.88812, -5.54869, -29.3906, 377.274, 0.0311543, -0.136061, 0.0524933, 0.131984, 0.550354
9, 0.133467, 0.8986, 1, 0.250748, 0.498272, -0.82997, -0.173752, 0.429654, -0.88612, -2.51717, -30.9418, 378.12, 0.0178668, -0.16376, 0.0556411, 0.210257, 0.578345
10, 0.15015, 0.90378, 1, 0.159686, 0.559014, -0.813636, -0.114399, 0.471586, -0.874368, -0.361024, -32.8795, 373.592, 0.0530962, -0.20108, 0.0624133, 0.230045, 0.663997
11, 0.166833, 0.90339, 1, 0.177599, 0.407593, -0.895727, -0.122647, 0.457349, -0.880789, 0.175884, -35.1368, 368.805, 0.0860719, -0.225562, 0.0701251, 0.265192, 0.601135
12, 0.183517, 0.907877, 1, 0.173038, 0.4076, -0.896616, -0.148491, 0.453529, -0.878784, -0.15586, -36.7442, 364.521, 0.103274, -0.224091, 0.0776857, 0.241604, 0.611816
13, 0.2002, 0.901621, 1, 0.199391, 0.361468, -0.910815, -0.132423, 0.406857, -0.903843, -0.646279, -37.5092, 364.746, 0.0994582, -0.20797, 0.0776162, 0.249722, 0.559608
14, 0.216883, 0.901236, 1, 0.17345, 0.334721, -0.926216, -0.105024, 0.354068, -0.929304, -1.18859, -37.9476, 361.504, 0.106323, -0.205044, 0.078752, 0.246942, 0.518679
15, 0.233567, 0.901174, 1, 0.165778, 0.324294, -0.931317, -0.0999164, 0.339293, -0.935359, -1.49523, -38.9629, 362.744, 0.101112, -0.189231, 0.0745614, 0.22797, 0.499168
16, 0.25025, 0.9002, 1, 0.159547, 0.290383, -0.943516, -0.0914572, 0.322374, -0.942184, -1.75909, -39.5016, 362.94, 0.0956788, -0.187544, 0.0743545, 0.22881, 0.467681
17, 0.266933, 0.899, 1, 0.171723, 0.295669, -0.939729, -0.099442, 0.319216, -0.94245, -1.83033, -39.7743, 364.519, 0.0881524, -0.179919, 0.0695111, 0.222241, 0.463241
18, 0.283617, 0.901973, 1, 0.187761, 0.310233, -0.931934, -0.0958035, 0.323692, -0.9413, -2.13037, -39.5319, 363.956, 0.101544, -0.181056, 0.0685288, 0.234698, 0.486218
19, 0.3003, 0.919878, 1, 0.171665, 0.271741, -0.946936, -0.0754739, 0.321388, -0.943935, -2.64445, -38.7085, 364.17, 0.0881974, -0.148922, 0.0602825, 0.200281, 0.449594
20, 0.316983, 0.921303, 1, 0.188404, 0.303582, -0.933993, -0.0850977, 0.335126, -0.938323, -3.66233, -37.8778, 365.376, 0.115156, -0.1464, 0.070414, 0.201462, 0.501412
21, 0.333667, 0.923334, 1, 0.204109, 0.307799, -0.9293, -0.0895182, 0.336386, -0.93746, -4.57901, -36.7321, 366.018, 0.130881, -0.145816, 0.0720708, 0.209271, 0.519164
22, 0.35035, 0.922105, 1, 0.23214, 0.306725, -0.923055, -0.0877188, 0.334377, -0.938348, -5.50211, -36.0283, 366.445, 0.131521, -0.132236, 0.0722437, 0.211321, 0.521327
23, 0.367033, 0.926613, 1, 0.218274, 0.298516, -0.929109, -0.0949528, 0.332271, -0.938392, -6.47721, -35.6077, 367.487, 0.139425, -0.126149, 0.0709972, 0.193237, 0.519507
24, 0.383717, 0.925663, 1, 0.216038, 0.300276, -0.929065, -0.0796176, 0.324498, -0.942529, -7.14281, -35.4189, 367.122, 0.143782, -0.114901, 0.0722973, 0.185696, 0.520092
25, 0.4004, 0.925637, 1, 0.214446, 0.302209, -0.928807, -0.0736744, 0.318635, -0.94501, -7.64278, -35.3523, 366.83, 0.145578, -0.105844, 0.0735609, 0.177137, 0.519476
26, 0.417083, 0.927791, 1, 0.212467, 0.303712, -0.928772, -0.0742096, 0.320999, -0.944168, -8.16456, -35.1552, 367.135, 0.149318, -0.106466, 0.0736282, 0.176663, 0.524011
27, 0.433767, 0.924626, 1, 0.213896, 0.301605, -0.92913, -0.0626138, 0.311369, -0.948224, -8.6939, -35.0973, 366.493, 0.155315, -0.0931237, 0.0746918, 0.166803, 0.522755
28, 0.45045, 0.92262, 1, 0.203227, 0.297989, -0.932685, -0.0543839, 0.308641, -0.949623, -9.07312, -35.1311, 367.733, 0.156008, -0.0771276, 0.0723116, 0.146238, 0.517643
29, 0.467133, 0.923365, 1, 0.216805, 0.301397, -0.928523, -0.0500975, 0.309939, -0.949436, -9.25746, -35.094, 367.4, 0.156659, -0.0748267, 0.0725615, 0.155705, 0.522136
30, 0.483817, 0.92024, 1, 0.222146, 0.302384, -0.926938, -0.0533451, 0.30251, -0.951652, -9.60615, -35.0922, 369.332, 0.142525, -0.0676683, 0.0680418, 0.148044, 0.505556
31, 0.5005, 0.920107, 1, 0.224455, 0.295871, -0.928483, -0.0499229, 0.303138, -0.951638, -9.70077, -34.9099, 369.325, 0.132975, -0.0637311, 0.0652836, 0.146552, 0.493223
32, 0.517183, 0.917656, 1, 0.230655, 0.292334, -0.928084, -0.0527921, 0.297176, -0.953362, -9.65748, -34.8673, 370.25, 0.122389, -0.0570215, 0.0620159, 0.14064, 0.478763
33, 0.533867, 0.915746, 1, 0.219239, 0.28645, -0.932674, -0.0520996, 0.295789, -0.953832, -9.54066, -34.7296, 370.975, 0.116543, -0.0519499, 0.0599729, 0.129009, 0.467201
34, 0.55055, 0.916758, 1, 0.224628, 0.29068, -0.930079, -0.0518136, 0.297758, -0.953234, -9.46696, -34.4268, 369.813, 0.118631, -0.0619264, 0.0605708, 0.144169, 0.473214
35, 0.567233, 0.914655, 1, 0.226564, 0.290531, -0.929656, -0.0551762, 0.296047, -0.953579, -9.40839, -34.2198, 369.759, 0.118233, -0.0689053, 0.0613954, 0.15137, 0.471785
36, 0.583917, 0.918761, 1, 0.218111, 0.285756, -0.933151, -0.0582585, 0.295067, -0.953699, -9.20065, -33.9235, 369.885, 0.12002, -0.0688185, 0.0615218, 0.144524, 0.469627
37, 0.6006, 0.918936, 1, 0.199838, 0.282625, -0.938183, -0.0564031, 0.295075, -0.953808, -9.02329, -33.6016, 368.944, 0.123824, -0.0719055, 0.0644398, 0.137727, 0.470654
38, 0.617283, 0.918572, 1, 0.209964, 0.281956, -0.936171, -0.0550102, 0.288805, -0.955806, -8.86583, -33.192, 369.923, 0.113098, -0.0733378, 0.060677, 0.147085, 0.458106
39, 0.633967, 0.917662, 1, 0.20891, 0.285749, -0.935256, -0.0587053, 0.294983, -0.953697, -8.86875, -32.8251, 369.029, 0.120581, -0.0806003, 0.062445, 0.152927, 0.46992
40, 0.65065, 0.913164, 1, 0.206516, 0.279442, -0.93769, -0.0588958, 0.293377, -0.954181, -8.83258, -32.4619, 369.413, 0.11831, -0.0804368, 0.0597166, 0.153172, 0.463965
41, 0.667333, 0.916978, 1, 0.217811, 0.28975, -0.931989, -0.0582316, 0.298007, -0.952786, -8.86025, -32.3667, 368.969, 0.130998, -0.0831053, 0.062364, 0.16319, 0.48447
42, 0.684017, 0.914624, 1, 0.205489, 0.283609, -0.936664, -0.0542222, 0.293994, -0.954268, -8.80944, -32.0318, 368.424, 0.129403, -0.0841409, 0.0579741, 0.160731, 0.476032
