frame, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_2_z, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, x_angle, y_angle
1, 0, 0.972403, 1, 0.200457, 0.262162, -0.943975, 0.158121, 0.274997, -0.948354, -97.3737, -58.5848, 481.607, 0.200032, -0.0780395, -0.312775, 0.403559, 0.433533
2, 0.0166833, 0.97482, 1, 0.216813, 0.260515, -0.94081, 0.185099, 0.275704, -0.943253, -96.5774, -59.1975, 480.492, 0.233769, -0.0455294, -0.356399, 0.386114, 0.445546
3, 0.0333667, 0.971758, 1, 0.238153, 0.255154, -0.937113, 0.209988, 0.281098, -0.936423, -95.7918, -59.7963, 479.098, 0.293697, -0.0316992, -0.393533, 0.391689, 0.484654
4, 0.05005, 0.971695, 1, 0.245947, 0.253215, -0.935624, 0.228259, 0.276506, -0.933511, -95.3648, -59.8506, 477.136, 0.314911, -0.0223375, -0.413886, 0.389558, 0.49181
5, 0.0667333, 0.970285, 1, 0.261041, 0.24805, -0.932914, 0.228927, 0.276503, -0.933348, -95.5313, -59.6689, 477.611, 0.321819, -0.00918512, -0.429004, 0.377968, 0.487934
6, 0.0834167, 0.971842, 1, 0.25896, 0.24994, -0.932989, 0.232425, 0.270645, -0.9342, -95.7514, -59.7078, 478.591, 0.310002, -0.000426452, -0.437489, 0.365198, 0.471319
7, 0.1001, 0.970044, 1, 0.255531, 0.25211, -0.933351, 0.227482, 0.27697, -0.933563, -95.7569, -59.7697, 479.011, 0.299087, 0.0066382, -0.44291, 0.355079, 0.464722
8, 0.116783, 0.971253, 1, 0.25393, 0.245799, -0.935469, 0.234734, 0.272696, -0.933026, -95.6393, -59.7179, 479.315, 0.295063, 0.00941433, -0.443293, 0.350957, 0.454971
9, 0.133467, 0.968457, 1, 0.258938, 0.254741, -0.931696, 0.242576, 0.272249, -0.931148, -95.4504, -59.777, 479.19, 0.292749, 0.0119738, -0.443263, 0.356979, 0.454185
10, 0.15015, 0.968918, 1, 0.254834, 0.251518, -0.933701, 0.242144, 0.281866, -0.928395, -95.3357, -59.7199, 478.802, 0.292551, 0.0125154, -0.442543, 0.356171, 0.458342
11, 0.166833, 0.968543, 1, 0.25593, 0.253042, -0.93299, 0.240867, 0.273532, -0.931216, -95.2449, -59.7268, 478.742, 0.292345, 0.0123365, -0.442879, 0.3542, 0.454812
12, 0.183517, 0.967775, 1, 0.256422, 0.253789, -0.932652, 0.231834, 0.277822, -0.932238, -95.0532, -59.6156, 478.639, 0.294939, 0.0132421, -0.442126, 0.350665, 0.461844
13, 0.2002, 0.969448, 1, 0.265314, 0.252118, -0.930616, 0.235938, 0.28853, -0.927946, -94.9177, -59.4753, 478.604, 0.294239, 0.0139595, -0.441931, 0.359824, 0.463522
14, 0.216883, 0.967655, 1, 0.296666, 0.264026, -0.917758, 0.248256, 0.295912, -0.922391, -94.7222, -59.4167, 478.628, 0.290617, 0.0111143, -0.441574, 0.390979, 0.460918
15, 0.233567, 0.967633, 1, 0.317786, 0.267855, -0.909541, 0.267538, 0.308586, -0.912797, -94.5409, -59.3205, 479.169, 0.291047, 0.0111455, -0.44078, 0.416321, 0.461695
16, 0.25025, 0.970318, 1, 0.311042, 0.277614, -0.908947, 0.268855, 0.32066, -0.908237, -94.3169, -59.1791, 479.039, 0.291275, 0.0113963, -0.440029, 0.420269, 0.474237
17, 0.266933, 0.968985, 1, 0.310393, 0.279356, -0.908634, 0.267071, 0.323266, -0.907839, -94.2121, -59.2291, 478.93, 0.291185, 0.0102255, -0.440091, 0.422065, 0.476849
