frame, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_2_z, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, x_angle, y_angle
1, 0, 0.979013, 1, 0.291477, 0.163812, -0.942447, -0.021801, 0.185013, -0.982494, -9.45558, 32.7329, 343.35, 0.117392, -0.301919, 0.0215119, 0.487129, 0.342462
2, 0.0166833, 0.980894, 1, 0.265769, 0.166525, -0.949545, 0.0100503, 0.177386, -0.98409, -6.97183, 33.992, 343.537, 0.115463, -0.298437, 0.0256222, 0.484691, 0.338583
3, 0.0333667, 0.981726, 1, 0.268895, 0.178475, -0.946489, 0.0172135, 0.124936, -0.992015, -5.72194, 33.8844, 346.943, 0.0995935, -0.313362, 0.0295706, 0.503425, 0.30107
4, 0.05005, 0.981787, 1, 0.282469, 0.156143, -0.946483, 0.0129265, 0.168375, -0.985638, -4.48859, 31.546, 346.746, 0.0819678, -0.318509, 0.0282431, 0.512803, 0.297403
5, 0.0667333, 0.982333, 1, 0.28786, 0.182121, -0.940196, 0.0186867, 0.161159, -0.986752, -3.43271, 29.3675, 347.937, 0.0757692, -0.325022, 0.0285484, 0.525663, 0.302912
6, 0.0834167, 0.981969, 1, 0.282616, 0.176848, -0.94279, 0.00103015, 0.159917, -0.98713, -2.64168, 27.1572, 348.791, 0.0724201, -0.33084, 0.0286699, 0.520604, 0.294369
7, 0.1001, 0.981127, 1, 0.317995, 0.164984, -0.933627, -0.0175866, 0.167629, -0.985693, -3.28294, 24.1492, 345.879, 0.0677907, -0.319181, 0.0264915, 0.517212, 0.290359
8, 0.116783, 0.980758, 1, 0.280508, 0.18681, -0.941497, 0.01229, 0.13066, -0.991351, -4.95365, 21.6727, 347.651, 0.0780334, -0.326, 0.0298837, 0.519143, 0.288534
9, 0.133467, 0.979985, 1, 0.281252, 0.177599, -0.943057, 0.0211895, 0.143979, -0.989354, -7.23103, 19.6712, 347.846, 0.0784995, -0.328849, 0.0264857, 0.528513, 0.290771
10, 0.15015, 0.982609, 1, 0.285733, 0.189992, -0.939287, 0.025225, 0.135822, -0.990412, -8.0315, 19.5005, 346.26, 0.0750685, -0.327264, 0.0211975, 0.53233, 0.290198
11, 0.166833, 0.982089, 1, 0.299279, 0.183605, -0.936334, 0.0275398, 0.153333, -0.987791, -8.137, 20.4993, 346.079, 0.0802794, -0.32126, 0.0188268, 0.534659, 0.302786
12, 0.183517, 0.981087, 1, 0.289329, 0.189562, -0.938272, 0.0233958, 0.131247, -0.991074, -8.09254, 21.0859, 346.554, 0.0862902, -0.321448, 0.0205231, 0.527233, 0.297874
13, 0.2002, 0.982794, 1, 0.287333, 0.194919, -0.937788, 0.0366461, 0.124169, -0.991584, -8.4154, 20.7363, 347.906, 0.0808485, -0.329729, 0.0211176, 0.542792, 0.292046
14, 0.216883, 0.982335, 1, 0.281854, 0.208688, -0.936487, 0.0242327, 0.145549, -0.989054, -8.39578, 20.2786, 346.277, 0.0889457, -0.319334, 0.0204391, 0.522836, 0.319596
15, 0.233567, 0.98134, 1, 0.277278, 0.205738, -0.938503, 0.023136, 0.144472, -0.989238, -8.25725, 20.2844, 346.138, 0.0911342, -0.318335, 0.0211847, 0.518257, 0.318842
16, 0.25025, 0.982087, 1, 0.285268, 0.209625, -0.935243, 0.0238638, 0.152083, -0.98808, -8.25037, 20.2385, 346.267, 0.0867891, -0.31993, 0.0210348, 0.524944, 0.322282
17, 0.266933, 0.982342, 1, 0.279705, 0.206523, -0.937611, 0.0166609, 0.154263, -0.987889, -8.08727, 20.0551, 345.85, 0.0916371, -0.317602, 0.0216625, 0.515845, 0.325704
18, 0.283617, 0.982634, 1, 0.278522, 0.211135, -0.936935, 0.0160197, 0.165477, -0.986084, -8.01336, 19.9347, 345.197, 0.0961655, -0.312917, 0.0219862, 0.510312, 0.338975
19, 0.3003, 0.982772, 1, 0.27673, 0.212427, -0.937174, 0.0168896, 0.17331, -0.984722, -7.94439, 19.7498, 343.988, 0.107646, -0.304262, 0.0222495, 0.501392, 0.354555
20, 0.316983, 0.982429, 1, 0.277778, 0.2112, -0.937141, 0.0148515, 0.168794, -0.985539, -7.76318, 19.7008, 343.714, 0.109032, -0.302747, 0.0216169, 0.498963, 0.35258
21, 0.333667, 0.981776, 1, 0.278347, 0.213916, -0.936356, 0.0148996, 0.170158, -0.985304, -7.5879, 19.7251, 344.098, 0.110116, -0.306684, 0.0220378, 0.504147, 0.356286
22, 0.35035, 0.980897, 1, 0.274174, 0.219341, -0.936332, 0.0130843, 0.169489, -0.985445, -7.67053, 19.654, 344.046, 0.111683, -0.306085, 0.0224778, 0.500484, 0.360472
23, 0.367033, 0.981131, 1, 0.278158, 0.211768, -0.936901, 0.0133544, 0.170518, -0.985264, -7.59358, 19.6211, 344.207, 0.110766, -0.307636, 0.0217356, 0.504299, 0.355989
24, 0.383717, 0.980475, 1, 0.27883, 0.214289, -0.936127, 0.0151966, 0.173656, -0.984689, -7.47085, 19.4794, 344.129, 0.110738, -0.308315, 0.0220794, 0.506298, 0.359706
