frame, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_2_z, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, x_angle, y_angle
1, 0, 0.917937, 1, -0.144888, 0.288044, -0.946593, -0.424491, 0.225696, -0.876851, 94.738, 6.70177, 321.65, -0.114475, -0.302896, -0.0667487, 0.032727, 0.192038
2, 0.0166833, 0.905465, 1, -0.133619, 0.286184, -0.948812, -0.414885, 0.227761, -0.880906, 95.836, 6.42918, 323.435, -0.130416, -0.302906, -0.0912645, 0.048591, 0.180073
3, 0.0333667, 0.900907, 1, -0.136571, 0.280306, -0.950146, -0.405792, 0.234155, -0.883461, 96.4895, 6.25749, 324.427, -0.137454, -0.296838, -0.100934, 0.046229, 0.174122
4, 0.05005, 0.897982, 1, -0.138198, 0.280361, -0.949894, -0.405921, 0.233208, -0.883653, 97.0545, 6.22484, 325.235, -0.139955, -0.297064, -0.105205, 0.0458102, 0.171466
5, 0.0667333, 0.89506, 1, -0.131512, 0.279015, -0.951239, -0.409846, 0.234504, -0.881495, 97.4779, 6.15837, 325.974, -0.137944, -0.295933, -0.108147, 0.0455039, 0.173783
6, 0.0834167, 0.895262, 1, -0.130765, 0.275746, -0.952294, -0.399793, 0.229768, -0.88734, 97.5688, 5.98661, 326.184, -0.144196, -0.297695, -0.111603, 0.0545613, 0.162121
7, 0.1001, 0.89108, 1, -0.11912, 0.268638, -0.955847, -0.401105, 0.225943, -0.88773, 97.716, 5.91773, 326.471, -0.145249, -0.298985, -0.113597, 0.0615632, 0.155065
8, 0.116783, 0.891527, 1, -0.121104, 0.265932, -0.956354, -0.394697, 0.225375, -0.890742, 97.8352, 5.81626, 326.823, -0.145389, -0.298971, -0.114727, 0.0641739, 0.152762
9, 0.133467, 0.890709, 1, -0.1183, 0.267452, -0.956282, -0.395099, 0.224106, -0.890883, 97.9157, 5.77097, 327.123, -0.145166, -0.298815, -0.115678, 0.0650897, 0.152848
10, 0.15015, 0.890964, 1, -0.112094, 0.265888, -0.957465, -0.39487, 0.224234, -0.890953, 97.8759, 5.69539, 327.274, -0.142103, -0.297081, -0.11677, 0.0664291, 0.155691
