frame, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_2_z, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, x_angle, y_angle
1, 0, 0.994218, 1, 0.15585, 0.265637, -0.951393, 0.00403653, 0.375067, -0.926989, -19.6428, -52.862, 444.772, 0.0557673, 0.404177, -0.0491895, -0.356114, 0.413913
2, 0.0166833, 0.993807, 1, 0.154923, 0.262465, -0.952424, 0.00393773, 0.372421, -0.928056, -19.8559, -53.0894, 446.741, 0.0557899, 0.4055, -0.04662, -0.359586, 0.410155
3, 0.0333667, 0.993932, 1, 0.154048, 0.258484, -0.953654, 0.000250968, 0.371388, -0.928478, -19.9915, -53.2628, 447.709, 0.050352, 0.409866, -0.0461358, -0.367227, 0.40305
4, 0.05005, 0.993966, 1, 0.157141, 0.255673, -0.953907, -0.00882198, 0.374507, -0.927182, -20.1129, -53.607, 447.979, 0.0497535, 0.410596, -0.0457671, -0.371854, 0.403755
5, 0.0667333, 0.994331, 1, 0.156015, 0.25436, -0.954443, -0.00369038, 0.366002, -0.930607, -20.2299, -53.8596, 449.263, 0.0518556, 0.405798, -0.0469194, -0.364134, 0.39917
6, 0.0834167, 0.994614, 1, 0.156333, 0.253194, -0.9547, -0.00353031, 0.367381, -0.930064, -20.3395, -54.0591, 449.099, 0.0531306, 0.407874, -0.0495547, -0.365843, 0.400421
7, 0.1001, 0.994102, 1, 0.164957, 0.258803, -0.951741, 0.00425778, 0.366807, -0.930287, -20.2349, -54.082, 447.712, 0.0592319, 0.407642, -0.0549746, -0.35645, 0.407206
8, 0.116783, 0.994201, 1, 0.167888, 0.257219, -0.951657, 0.000567874, 0.366686, -0.930345, -20.4345, -53.9585, 446.422, 0.0595583, 0.401892, -0.0566999, -0.349442, 0.407076
9, 0.133467, 0.994216, 1, 0.165776, 0.255261, -0.952555, 0.0115028, 0.372177, -0.92809, -20.9135, -53.9804, 447.107, 0.0629011, 0.403654, -0.0584164, -0.346906, 0.411417
10, 0.15015, 0.993948, 1, 0.17149, 0.249001, -0.9532, 0.00784606, 0.366676, -0.930315, -21.0679, -53.8987, 447.433, 0.0603186, 0.406623, -0.0594989, -0.349633, 0.402791
11, 0.166833, 0.993871, 1, 0.173514, 0.250333, -0.952484, 0.0106583, 0.364616, -0.931097, -21.1241, -53.7661, 446.55, 0.0616795, 0.406691, -0.0646076, -0.345567, 0.402685
12, 0.183517, 0.993925, 1, 0.171879, 0.248849, -0.953169, 0.00486115, 0.361782, -0.93225, -21.1739, -53.6659, 446.963, 0.0625305, 0.40637, -0.0640823, -0.349469, 0.401923
13, 0.2002, 0.993132, 1, 0.176913, 0.25354, -0.95101, 0.0052317, 0.365794, -0.930681, -21.206, -53.6997, 447.031, 0.0673118, 0.40547, -0.0683961, -0.344389, 0.410147
14, 0.216883, 0.992662, 1, 0.174677, 0.255991, -0.950766, 0.00592654, 0.368923, -0.929441, -21.3098, -53.8253, 447.616, 0.0695767, 0.401844, -0.0681329, -0.340761, 0.41541
15, 0.233567, 0.992277, 1, 0.177993, 0.254707, -0.950496, 0.00680661, 0.367712, -0.929915, -21.2502, -53.6962, 446.918, 0.0726821, 0.402189, -0.071283, -0.33809, 0.416178
16, 0.25025, 0.991597, 1, 0.180747, 0.249762, -0.951288, 0.00955245, 0.371544, -0.928366, -21.0716, -53.7593, 447.164, 0.078119, 0.400203, -0.0749775, -0.332345, 0.419838
17, 0.266933, 0.990998, 1, 0.18156, 0.246687, -0.951935, 0.00903928, 0.36927, -0.929278, -21.1337, -53.8844, 447.555, 0.078037, 0.397374, -0.0746164, -0.328861, 0.416343
18, 0.283617, 0.990514, 1, 0.179543, 0.244573, -0.952863, 0.00912281, 0.376708, -0.926287, -21.081, -53.9603, 447.864, 0.0801774, 0.395505, -0.074763, -0.327292, 0.421077
19, 0.3003, 0.990674, 1, 0.178063, 0.239981, -0.954307, 0.000839668, 0.37776, -0.925903, -21.155, -54.0823, 448.683, 0.07916, 0.395243, -0.0718491, -0.333045, 0.419363
20, 0.316983, 0.990849, 1, 0.176616, 0.243042, -0.953801, -0.00150827, 0.377182, -0.926138, -21.2623, -54.1099, 449.272, 0.0773227, 0.395092, -0.0686782, -0.335702, 0.419721
21, 0.333667, 0.990324, 1, 0.178842, 0.240696, -0.953982, -0.000644507, 0.375519, -0.926815, -21.225, -54.1156, 449.683, 0.0755235, 0.395341, -0.0686403, -0.333985, 0.415187
22, 0.35035, 0.989935, 1, 0.183296, 0.236887, -0.95409, 0.00228894, 0.374667, -0.927157, -21.2436, -54.1643, 450.346, 0.0776199, 0.391877, -0.0687584, -0.326167, 0.413751
23, 0.367033, 0.989923, 1, 0.179907, 0.241532, -0.95357, 0.00332905, 0.372343, -0.928089, -21.2304, -54.101, 450.271, 0.0774714, 0.392998, -0.0697604, -0.328413, 0.414869
24, 0.383717, 0.989125, 1, 0.182785, 0.245035, -0.952128, 0.00664098, 0.37647, -0.926405, -21.2296, -54.109, 450.657, 0.0798291, 0.39139, -0.0707228, -0.322579, 0.42026
25, 0.4004, 0.988242, 1, 0.194064, 0.23666, -0.952014, 0.00855493, 0.366891, -0.930224, -21.2689, -54.1214, 451.146, 0.0821031, 0.389166, -0.0708248, -0.313564, 0.411147
26, 0.417083, 0.988023, 1, 0.206796, 0.231569, -0.950585, 0.0421699, 0.359205, -0.932305, -21.2205, -54.0516, 450.764, 0.077791, 0.385708, -0.0713805, -0.284105, 0.395851
27, 0.433767, 0.987328, 1, 0.214655, 0.229142, -0.94943, 0.036101, 0.355866, -0.933839, -21.2411, -54.0395, 450.91, 0.081326, 0.380368, -0.0723137, -0.277045, 0.395894
