frame, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_2_z, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, x_angle, y_angle
1, 0, 0.982415, 1, 0.113286, 0.108382, -0.987633, 0.0359628, 0.138988, -0.989641, -34.2333, -4.00988, 489.619, 0.324117, -0.410782, 0.102361, 0.538315, 0.462973
2, 0.0166833, 0.982369, 1, 0.108827, 0.104849, -0.988516, 0.0323567, 0.139671, -0.989669, -33.21, -4.26083, 488.466, 0.321234, -0.41514, 0.100263, 0.538582, 0.45948
3, 0.0333667, 0.982067, 1, 0.11362, 0.109409, -0.987482, 0.0338706, 0.142387, -0.989231, -32.5538, -4.61626, 487.975, 0.324852, -0.416099, 0.103149, 0.543573, 0.468243
4, 0.05005, 0.982457, 1, 0.118954, 0.111152, -0.986659, 0.0350198, 0.14243, -0.989185, -32.4859, -4.53627, 487.441, 0.325773, -0.415691, 0.102709, 0.546686, 0.470668
5, 0.0667333, 0.982364, 1, 0.117527, 0.108468, -0.987128, 0.0357985, 0.140052, -0.989497, -32.6702, -4.463, 488.105, 0.328, -0.415377, 0.103281, 0.54597, 0.469525
6, 0.0834167, 0.982686, 1, 0.118484, 0.108148, -0.987049, 0.0350982, 0.141442, -0.989324, -32.5699, -4.64965, 488.152, 0.32453, -0.415914, 0.102333, 0.546441, 0.467103
7, 0.1001, 0.982169, 1, 0.121067, 0.108164, -0.986734, 0.0287708, 0.143101, -0.98929, -32.5185, -4.50135, 487.467, 0.327756, -0.41498, 0.103195, 0.543826, 0.470923
8, 0.116783, 0.981603, 1, 0.143096, 0.113319, -0.9832, 0.0295499, 0.141032, -0.989564, -32.569, -4.50225, 487.615, 0.325242, -0.412613, 0.101183, 0.553678, 0.472495
9, 0.133467, 0.981715, 1, 0.144559, 0.112219, -0.983112, 0.030906, 0.140288, -0.989628, -32.561, -4.55092, 487.857, 0.327922, -0.412908, 0.10067, 0.555477, 0.473891
10, 0.15015, 0.981595, 1, 0.13907, 0.112512, -0.98387, 0.0288681, 0.140995, -0.989589, -32.4765, -4.5539, 487.715, 0.326496, -0.412209, 0.0990208, 0.55058, 0.472302
11, 0.166833, 0.98198, 1, 0.146684, 0.113658, -0.982632, 0.0305474, 0.140682, -0.989583, -32.4802, -4.62522, 487.884, 0.326644, -0.412163, 0.098806, 0.555524, 0.473793
12, 0.183517, 0.981996, 1, 0.141545, 0.113764, -0.983373, 0.0294515, 0.139947, -0.989721, -32.4723, -4.63638, 487.988, 0.327695, -0.411628, 0.0989274, 0.551507, 0.473739
13, 0.2002, 0.98229, 1, 0.140355, 0.111712, -0.983779, 0.0239401, 0.141537, -0.989643, -32.4169, -4.55814, 487.733, 0.324943, -0.41043, 0.0973245, 0.546181, 0.470074
14, 0.216883, 0.982152, 1, 0.138582, 0.112738, -0.983913, 0.0270413, 0.139549, -0.989846, -32.462, -4.6329, 487.94, 0.326215, -0.410569, 0.0970242, 0.547152, 0.470711
15, 0.233567, 0.981323, 1, 0.143202, 0.113663, -0.983145, 0.025683, 0.139796, -0.989847, -32.5345, -4.62461, 488.043, 0.328344, -0.409183, 0.0972918, 0.547372, 0.473522
16, 0.25025, 0.981833, 1, 0.140955, 0.114381, -0.983386, 0.0250595, 0.139911, -0.989847, -32.4708, -4.48514, 488.381, 0.328779, -0.408074, 0.0976166, 0.544703, 0.473933
17, 0.266933, 0.981403, 1, 0.14591, 0.114248, -0.982679, 0.0270966, 0.140556, -0.989702, -32.4882, -4.60082, 488.469, 0.32979, -0.40903, 0.0984098, 0.549774, 0.475854
18, 0.283617, 0.980134, 1, 0.15744, 0.117942, -0.98046, 0.0262859, 0.141945, -0.989525, -32.6438, -4.57774, 488.358, 0.331932, -0.407766, 0.0995745, 0.554742, 0.481864
19, 0.3003, 0.979178, 1, 0.151388, 0.117446, -0.981472, 0.023372, 0.14249, -0.98952, -32.659, -4.49362, 488.316, 0.332369, -0.408495, 0.0999372, 0.55066, 0.481292
20, 0.316983, 0.979646, 1, 0.155835, 0.121712, -0.980256, 0.0236309, 0.142857, -0.989461, -32.6277, -4.51625, 488.47, 0.331852, -0.408257, 0.0998743, 0.553132, 0.484093
21, 0.333667, 0.979359, 1, 0.1446, 0.114694, -0.982821, 0.0222135, 0.142477, -0.989549, -32.6641, -4.48431, 488.55, 0.333442, -0.408566, 0.100364, 0.546371, 0.480024
22, 0.35035, 0.97946, 1, 0.141379, 0.112912, -0.983495, 0.0287587, 0.14248, -0.98938, -32.5846, -4.49432, 488.368, 0.332449, -0.40952, 0.0999085, 0.548946, 0.478242
23, 0.367033, 0.97926, 1, 0.149557, 0.117332, -0.981767, 0.0283464, 0.143837, -0.989195, -32.5703, -4.49195, 487.897, 0.332659, -0.409715, 0.10036, 0.553762, 0.482733
24, 0.383717, 0.980392, 1, 0.156037, 0.11792, -0.980687, 0.0319859, 0.141386, -0.989438, -32.508, -4.46525, 487.774, 0.333143, -0.410645, 0.100113, 0.560233, 0.483287
25, 0.4004, 0.98065, 1, 0.15854, 0.116236, -0.980487, 0.0319388, 0.141238, -0.98946, -32.4933, -4.4625, 487.618, 0.332705, -0.410427, 0.0995282, 0.561314, 0.482302
26, 0.417083, 0.980256, 1, 0.15815, 0.116126, -0.980563, 0.0339079, 0.139879, -0.989588, -32.4773, -4.48615, 487.563, 0.33355, -0.410013, 0.100195, 0.561736, 0.482506
27, 0.433767, 0.980516, 1, 0.149471, 0.110422, -0.982581, 0.0348327, 0.139447, -0.989617, -32.4787, -4.46617, 487.542, 0.331817, -0.410636, 0.0994568, 0.557947, 0.476745
28, 0.45045, 0.980154, 1, 0.151234, 0.111324, -0.982209, 0.0370158, 0.139154, -0.989579, -32.4804, -4.44979, 487.678, 0.332424, -0.41041, 0.0987483, 0.56012, 0.477691
29, 0.467133, 0.980113, 1, 0.150641, 0.110296, -0.982416, 0.0371137, 0.139222, -0.989565, -32.4817, -4.41126, 487.743, 0.332452, -0.410324, 0.0990252, 0.559669, 0.477135
30, 0.483817, 0.97937, 1, 0.143542, 0.107863, -0.983749, 0.0361945, 0.140866, -0.989367, -32.4966, -4.40145, 487.877, 0.332803, -0.409832, 0.0985287, 0.554817, 0.475934
31, 0.5005, 0.978886, 1, 0.156672, 0.115828, -0.980835, 0.0356438, 0.13869, -0.989694, -32.6444, -4.30968, 488.023, 0.334061, -0.408488, 0.0985711, 0.560498, 0.481311
32, 0.517183, 0.979115, 1, 0.135244, 0.109159, -0.984781, 0.0320679, 0.14003, -0.989628, -32.5173, -4.32391, 487.88, 0.33376, -0.409911, 0.0996183, 0.54811, 0.475731
33, 0.533867, 0.978867, 1, 0.128213, 0.115992, -0.98494, 0.0307271, 0.138687, -0.989859, -32.537, -4.28035, 487.907, 0.334956, -0.409814, 0.101114, 0.543856, 0.479286
34, 0.55055, 0.978793, 1, 0.13672, 0.120538, -0.983249, 0.0288957, 0.141491, -0.989518, -32.5484, -4.26109, 487.749, 0.335154, -0.410337, 0.102402, 0.548402, 0.484636
35, 0.567233, 0.978648, 1, 0.137189, 0.117273, -0.983578, 0.0294482, 0.139441, -0.989792, -32.5171, -4.23405, 487.626, 0.334412, -0.411509, 0.102591, 0.550183, 0.481259
36, 0.583917, 0.977961, 1, 0.140506, 0.118886, -0.982916, 0.0269865, 0.139662, -0.989831, -32.5059, -4.2545, 487.886, 0.335032, -0.411533, 0.103571, 0.550875, 0.483175
37, 0.6006, 0.978728, 1, 0.152456, 0.122357, -0.980707, 0.0236476, 0.142489, -0.989514, -32.4186, -4.24676, 487.552, 0.33396, -0.412137, 0.102942, 0.556313, 0.486749
38, 0.617283, 0.978666, 1, 0.137018, 0.119228, -0.983367, 0.0182261, 0.14196, -0.989705, -32.5182, -4.2059, 487.781, 0.33224, -0.411818, 0.102166, 0.544339, 0.480616
39, 0.633967, 0.978513, 1, 0.14082, 0.124516, -0.982174, 0.0137789, 0.142523, -0.989696, -32.4852, -4.19835, 487.885, 0.329085, -0.412289, 0.100919, 0.54429, 0.481105
40, 0.65065, 0.97831, 1, 0.134882, 0.124355, -0.983027, 0.0118996, 0.141981, -0.989798, -32.4879, -4.16462, 487.867, 0.329146, -0.411233, 0.10019, 0.538715, 0.47975
41, 0.667333, 0.977971, 1, 0.128648, 0.116689, -0.984801, 0.00777344, 0.140796, -0.990008, -32.5367, -4.13589, 488.115, 0.328255, -0.411176, 0.0999318, 0.53262, 0.472776
42, 0.684017, 0.978609, 1, 0.133756, 0.11837, -0.98392, 0.00860124, 0.140367, -0.990062, -32.5051, -4.11745, 487.87, 0.328803, -0.410508, 0.0997661, 0.535168, 0.474733
43, 0.7007, 0.97832, 1, 0.133912, 0.116898, -0.984074, 0.00960934, 0.139686, -0.990149, -32.5117, -4.12861, 487.643, 0.329655, -0.409329, 0.100791, 0.534302, 0.474686
44, 0.717383, 0.979155, 1, 0.132217, 0.114321, -0.984606, 0.0100423, 0.139365, -0.99019, -32.5316, -4.10489, 487.611, 0.329139, -0.4091, 0.100413, 0.533231, 0.472272
45, 0.734067, 0.978798, 1, 0.130834, 0.110166, -0.985264, 0.0104846, 0.138317, -0.990333, -32.5457, -4.10392, 487.486, 0.329538, -0.407641, 0.100341, 0.530773, 0.469499
46, 0.75075, 0.978543, 1, 0.132426, 0.112834, -0.98475, 0.00577775, 0.140102, -0.99012, -32.5105, -4.05339, 487.065, 0.329248, -0.409151, 0.100447, 0.530984, 0.471545
47, 0.767433, 0.978815, 1, 0.131989, 0.112854, -0.984806, 0.00274796, 0.138201, -0.9904, -32.5524, -4.01636, 487.102, 0.328842, -0.40904, 0.100637, 0.528973, 0.469761
